# Matter power spectrum P(k) at redshift z=2
# for k=1.045e-05 to 10.6861 h/Mpc,
# number of wavenumbers equal to 613
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.152175486966e-01       1.541913766339e+02 
       3.184313958939e-01       1.515348510452e+02 
       3.216452437417e-01       1.488663944293e+02 
       3.248590922206e-01       1.461653274945e+02 
       3.280729413120e-01       1.434233954560e+02 
       3.312867909978e-01       1.406458677638e+02 
       3.345006412610e-01       1.378488048967e+02 
       3.377144920850e-01       1.350549481358e+02 
       3.409283434538e-01       1.322907442092e+02 
       3.441421953521e-01       1.295799080173e+02 
       3.473560477652e-01       1.269442152938e+02 
       3.505699006787e-01       1.244014604241e+02 
       3.537837540791e-01       1.219653347372e+02 
       3.569976079530e-01       1.196449807260e+02 
       3.602114622879e-01       1.174436993214e+02 
       3.634253170713e-01       1.153592240886e+02 
       3.666391722915e-01       1.133824489578e+02 
       3.698530279369e-01       1.114980709254e+02 
       3.730668839967e-01       1.096891756540e+02 
       3.762807404600e-01       1.079361283116e+02 
       3.794945973167e-01       1.062230098404e+02 
       3.827084545567e-01       1.045361595170e+02 
       3.859223121705e-01       1.028672245201e+02 
       3.891361701487e-01       1.012094385746e+02 
       3.923500284823e-01       9.956250710273e+01 
       3.955638871627e-01       9.792235062739e+01 
       3.987777461815e-01       9.629164560264e+01 
       4.019916055304e-01       9.467325054783e+01 
       4.052054652017e-01       9.307428905438e+01 
       4.084193251876e-01       9.150025924252e+01 
       4.116331854808e-01       8.995968824793e+01 
       4.148470460740e-01       8.845953278631e+01 
       4.180609069605e-01       8.700332537458e+01 
       4.212747681333e-01       8.559348395473e+01 
       4.244886295860e-01       8.423026975588e+01 
       4.277024913123e-01       8.291157271334e+01 
       4.309163533060e-01       8.163539934624e+01 
       4.341302155611e-01       8.040001205305e+01 
       4.373440780719e-01       7.920184536490e+01 
       4.405579408327e-01       7.803765459676e+01 
       4.437718038381e-01       7.690339639620e+01 
       4.469856670828e-01       7.579398147776e+01 
       4.501995305617e-01       7.470493593102e+01 
       4.534133942698e-01       7.363134344401e+01 
       4.566272582021e-01       7.257107284104e+01 
       4.598411223540e-01       7.152280726844e+01 
       4.630549867210e-01       7.048677298684e+01 
       4.662688512984e-01       6.946379465358e+01 
       4.694827160821e-01       6.845517421556e+01 
       4.726965810677e-01       6.746141688589e+01 
       4.759104462512e-01       6.648363947269e+01 
       4.791243116286e-01       6.552337001062e+01 
       4.823381771960e-01       6.458246243382e+01 
       4.855520429496e-01       6.366219344784e+01 
       4.887659088857e-01       6.276466043896e+01 
       4.919797750007e-01       6.189065359098e+01 
       4.951936412912e-01       6.103998008867e+01 
